"filename", "language", "JavaScript", "JSON", "TypeScript", "JSON with Comments", "HTML", "TypeScript JSX", "PostCSS", "Markdown", "comment", "blank", "total"
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 54, 0, 12, 66
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\eslint.config.js", "JavaScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 2, 29
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\index.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 1, 1, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\package.json", "JSON", 0, 47, 0, 0, 0, 0, 0, 0, 0, 1, 48
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\scripts\gen-openapi-client.mjs", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 4, 24
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\App.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 42, 1, 43
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 5, 0, 0, 1, 4, 10
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\IngresoOrden\componente.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\IngresoOrden\mantenimiento.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\catalogos.ts", "TypeScript", 0, 0, 31, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\direccion.ts", "TypeScript", 0, 0, 32, 0, 0, 0, 0, 0, 8, 3, 43
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\fecha.ts", "TypeScript", 0, 0, 34, 0, 0, 0, 0, 0, 17, 13, 64
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\filtersToParams.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\localidades\provincias.ts", "TypeScript", 0, 0, 28, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\mapper.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 14, 6, 50
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\pagination.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\adapters\perfil.ts", "TypeScript", 0, 0, 181, 0, 0, 0, 0, 0, 36, 9, 226
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\core\ApiError.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 4, 4, 26
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\core\ApiRequestOptions.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 1, 18
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\core\ApiResult.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 1, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\core\CancelablePromise.ts", "TypeScript", 0, 0, 108, 0, 0, 0, 0, 0, 4, 20, 132
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\core\OpenAPI.ts", "TypeScript", 0, 0, 25, 0, 0, 0, 0, 0, 4, 4, 33
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\core\request.ts", "TypeScript", 0, 0, 303, 0, 0, 0, 0, 0, 13, 47, 363
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\index.ts", "TypeScript", 0, 0, 186, 0, 0, 0, 0, 0, 4, 3, 193
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActivoAsociadoOrdenResponse.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 4, 2, 20
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActivoAsociadoOrdenResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActivoCreateUpdateRequest.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 2, 15
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActivoDto.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 4, 2, 23
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActivoDtoPagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarCatalogoDto.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarCiudadDto.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarClienteEmpresaDto.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 4, 2, 20
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarClienteNaturalDto.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarContactoDirectoDto.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarContactoEmpresaDto.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarDireccionDto.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarEstadoComponenteRequest.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 4, 2, 11
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarMisDatosRequest.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 2, 15
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarMisDatosResponse.ts", "TypeScript", 0, 0, 15, 0, 0, 0, 0, 0, 4, 2, 21
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarMisDatosResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarPaisDto.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarParteRequest.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ActualizarProvinciaDto.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 4, 2, 11
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\AgregarDatosFaltantesOrdenRequest.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ApiErrorResponse.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\AsociarActivoOrdenRequest.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\AutenticacionLoginInternoRequest.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\AutenticacionLoginInternoResponse.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 4, 2, 11
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\AutenticacionLoginInternoResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\AutenticacionLoginRequest.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\AutenticacionLoginResponse.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\AutenticacionLoginResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\BuscarInspectorMantenimientoRequest.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\BuscarTecnicoMantenimientoRequest.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CambiarActivoAsociadoRequest.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CambiarPasswordRequest.ts", "TypeScript", 0, 0, 4, 0, 0, 0, 0, 0, 4, 2, 10
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CatalogoDto.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CatalogoDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CatalogoDtoIEnumerableApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CitaRequest.ts", "TypeScript", 0, 0, 5, 0, 0, 0, 0, 0, 4, 2, 11
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CitaResponse.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 2, 18
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CitaResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CitaResponseListApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CiudadDto.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CiudadDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CiudadDtoPagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteEmpresaDto.ts", "TypeScript", 0, 0, 18, 0, 0, 0, 0, 0, 4, 2, 24
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteEmpresaDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteInternoRequest.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 2, 19
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteInternoResponse.ts", "TypeScript", 0, 0, 19, 0, 0, 0, 0, 0, 4, 2, 25
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteInternoResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteInternoResponsePagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteNaturalDto.ts", "TypeScript", 0, 0, 17, 0, 0, 0, 0, 0, 4, 2, 23
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteNaturalDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteSelectorResponse.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClienteSelectorResponseIEnumerableApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesEmpresaRequest.ts", "TypeScript", 0, 0, 12, 0, 0, 0, 0, 0, 4, 2, 18
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesEmpresaResponse.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesEmpresaResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesNaturalRequest.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesNaturalResponse.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 4, 2, 20
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ClientesNaturalResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ComponenteDisponibleResponse.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 2, 15
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ComponenteDisponibleResponseListApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoDto.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoDtoPagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoDtoPagedResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoRequest.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoResponse.ts", "TypeScript", 0, 0, 14, 0, 0, 0, 0, 0, 4, 2, 20
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoDirectoResponsePagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoEmpresaDto.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 4, 2, 17
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoEmpresaDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoEmpresaDtoPagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactoEmpresaDtoPagedResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactosEmpresaRequest.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactosEmpresaResponse.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 2, 15
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactosEmpresaResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactosEmpresaResponsePagedResponse.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\ContactosEmpresaResponsePagedResponseApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearActivoYAsociarRequest.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 4, 2, 15
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearCatalogoDto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearCitaClienteRequest.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearCitaClienteResponse.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearCiudadDto.ts", "TypeScript", 0, 0, 6, 0, 0, 0, 0, 0, 4, 2, 12
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearClienteEmpresaDto.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 2, 19
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearClienteEmpresaResponseDto.ts", "TypeScript", 0, 0, 13, 0, 0, 0, 0, 0, 4, 2, 19
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearClienteEmpresaResponseDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearClienteNaturalDto.ts", "TypeScript", 0, 0, 10, 0, 0, 0, 0, 0, 4, 2, 16
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearClienteNaturalResponseDto.ts", "TypeScript", 0, 0, 16, 0, 0, 0, 0, 0, 4, 2, 22
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearClienteNaturalResponseDtoApiResponse.ts", "TypeScript", 0, 0, 8, 0, 0, 0, 0, 0, 4, 2, 14
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearContactoDirectoDto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
"c:\Users\andre\practicas\proyecto\Mantplus\Frontend\mantenimiento-web\src\api\models\CrearContactoEmpresaDto.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 4, 2, 13
